Date,2 YR,3 YR,5 YR,7 YR,10 YR,30 YR
2019-11-29,1.61,1.61,1.62,1.73,1.78,2.21
2019-11-27,1.63,1.61,1.63,1.71,1.77,2.19
2019-11-26,1.58,1.58,1.58,1.68,1.74,2.18
2019-11-25,1.61,1.6,1.62,1.71,1.76,2.21
2019-11-22,1.61,1.6,1.62,1.71,1.77,2.22
2019-11-21,1.6,1.59,1.62,1.71,1.77,2.24
2019-11-20,1.56,1.55,1.58,1.66,1.73,2.2
2019-11-19,1.6,1.59,1.63,1.71,1.79,2.26
2019-11-18,1.6,1.59,1.63,1.73,1.81,2.3
2019-11-15,1.61,1.61,1.65,1.75,1.84,2.31
2019-11-14,1.58,1.59,1.63,1.73,1.82,2.31
2019-11-13,1.63,1.65,1.69,1.79,1.88,2.36
2019-11-12,1.66,1.69,1.73,1.84,1.92,2.39
2019-11-08,1.68,1.7,1.74,1.86,1.94,2.43
2019-11-07,1.68,1.7,1.74,1.84,1.92,2.4
2019-11-06,1.61,1.6,1.63,1.73,1.81,2.3
2019-11-05,1.63,1.63,1.66,1.77,1.86,2.34
2019-11-04,1.6,1.59,1.6,1.69,1.79,2.27
2019-11-01,1.56,1.55,1.55,1.63,1.73,2.21
2019-10-31,1.52,1.52,1.51,1.6,1.69,2.17
2019-10-30,1.61,1.6,1.61,1.69,1.78,2.26
2019-10-29,1.64,1.65,1.66,1.74,1.84,2.33
2019-10-28,1.64,1.65,1.66,1.75,1.85,2.34
2019-10-25,1.63,1.62,1.62,1.71,1.8,2.29
2019-10-24,1.58,1.58,1.58,1.67,1.77,2.26
2019-10-23,1.58,1.58,1.58,1.67,1.77,2.25
2019-10-22,1.6,1.59,1.6,1.68,1.78,2.26
2019-10-21,1.62,1.59,1.61,1.7,1.8,2.28
2019-10-18,1.58,1.56,1.56,1.66,1.76,2.25
2019-10-17,1.6,1.57,1.57,1.66,1.76,2.24
2019-10-16,1.58,1.57,1.57,1.65,1.75,2.23
2019-10-15,1.61,1.6,1.59,1.68,1.77,2.23
2019-10-11,1.63,1.6,1.59,1.68,1.76,2.22
2019-10-10,1.53,1.49,1.48,1.57,1.67,2.16
2019-10-09,1.47,1.43,1.4,1.5,1.59,2.08
2019-10-08,1.42,1.38,1.36,1.45,1.54,2.04
2019-10-07,1.46,1.41,1.38,1.47,1.56,2.05
2019-10-04,1.4,1.35,1.34,1.43,1.52,2.01
2019-10-03,1.39,1.34,1.34,1.45,1.54,2.04
2019-10-02,1.48,1.43,1.43,1.53,1.6,2.09
2019-10-01,1.56,1.51,1.51,1.59,1.65,2.11
